state_name,user_year,quarter,reguser,appopens
puducherry,2018,1,49318,0
tamil nadu,2018,1,2104754,0
uttar pradesh,2018,1,4694250,0
madhya pradesh,2018,1,2553603,0
andhra pradesh,2018,1,3336450,0
tripura,2018,1,55157,0
lakshadweep,2018,1,501,0
manipur,2018,1,29925,0
maharashtra,2018,1,6106994,0
dadra & nagar haveli & daman & diu,2018,1,53258,0
meghalaya,2018,1,18513,0
andaman & nicobar islands,2018,1,6740,0
haryana,2018,1,1847357,0
rajasthan,2018,1,3158202,0
ladakh,2018,1,8784,0
punjab,2018,1,847142,0
assam,2018,1,385237,0
jharkhand,2018,1,885762,0
odisha,2018,1,1594015,0
bihar,2018,1,2133804,0
kerala,2018,1,784184,0
karnataka,2018,1,3717763,0
chandigarh,2018,1,86268,0
telangana,2018,1,3315560,0
himachal pradesh,2018,1,227373,0
west bengal,2018,1,2604789,0
gujarat,2018,1,2690048,0
sikkim,2018,1,20051,0
nagaland,2018,1,15074,0
mizoram,2018,1,7593,0
chhattisgarh,2018,1,679263,0
jammu & kashmir,2018,1,176425,0
goa,2018,1,91936,0
arunachal pradesh,2018,1,21495,0
delhi,2018,1,2087022,0
uttarakhand,2018,1,483043,0
puducherry,2018,2,65580,0
tamil nadu,2018,2,2996036,0
uttar pradesh,2018,2,6442554,0
madhya pradesh,2018,2,3441662,0
andhra pradesh,2018,2,4402540,0
tripura,2018,2,83369,0
lakshadweep,2018,2,686,0
manipur,2018,2,46055,0
maharashtra,2018,2,8222371,0
dadra & nagar haveli & daman & diu,2018,2,71458,0
meghalaya,2018,2,26618,0
andaman & nicobar islands,2018,2,9405,0
haryana,2018,2,2447221,0
rajasthan,2018,2,4212964,0
ladakh,2018,2,12918,0
punjab,2018,2,1152190,0
assam,2018,2,571046,0
jharkhand,2018,2,1230599,0
odisha,2018,2,2185781,0
bihar,2018,2,3005872,0
kerala,2018,2,1066587,0
karnataka,2018,2,5030665,0
chandigarh,2018,2,115219,0
telangana,2018,2,4260115,0
himachal pradesh,2018,2,315299,0
west bengal,2018,2,3833795,0
gujarat,2018,2,3565825,0
